component,event,timestamp_iso,elapsed_from_start_seconds
migration,start,2026-09-09T18:38:22.6546397+05:30,0
stage-01,start,2026-09-09T18:40:32.5756589+05:30,129.92
stage-01,capture-complete,2026-09-09T18:46:01.6166763+05:30,458.96
stage-01,complete,2026-09-09T18:47:51.6632473+05:30,569.01
stage-02,start,2026-09-09T18:47:52.3725148+05:30,569.72
site-header,start,2026-09-09T18:48:18.5718999+05:30,595.92
site-header,complete,2026-09-09T18:50:31.0140265+05:30,728.36
site-footer,start,2026-09-09T18:50:32.0986115+05:30,729.44
site-footer,complete,2026-09-09T18:51:31.2642572+05:30,788.61
hero,start,2026-09-09T18:51:33.6912115+05:30,791.04
hero,complete,2026-09-09T18:52:28.7271862+05:30,846.07
page-authoring,complete,2026-09-09T18:54:39.1805959+05:30,976.53
stage-02,complete,2026-09-09T18:54:39.8352691+05:30,977.18
stage-03,start,2026-09-09T18:54:55.9372265+05:30,993.28
build-deploy,start,2026-09-09T18:54:56.5611681+05:30,993.91
build-deploy,complete,2026-09-09T19:04:10.0327626+05:30,1547.38
stage-03,complete,2026-09-09T19:07:50.7942436+05:30,1768.14
stage-04,start,2026-09-09T19:07:51.4090710+05:30,1768.75
stage-04,diff-complete,2026-09-09T19:12:55.9322532+05:30,2073.28
migration,end,2026-09-09T19:12:56.6789254+05:30,2074.02
remediation,start,2026-09-09T19:17:16.0612310+05:30,2333.41
site-header,remediate-start,2026-09-09T19:17:16.6840057+05:30,2334.03
iter-03,start,2026-09-09T19:23:06.5361726+05:30,2683.88
stage-01-v2,start,2026-09-09T19:23:07.1909960+05:30,2684.54
stage-01-v2,complete,2026-09-09T19:26:52.9903674+05:30,2910.34
stage-02-v2,start,2026-09-09T19:26:53.6357467+05:30,2910.98
pull-quote,start,2026-09-09T19:27:51.4110173+05:30,2968.76
pull-quote,complete,2026-09-09T19:27:54.9335115+05:30,2972.28
media-with-caption,start,2026-09-09T19:27:56.5732813+05:30,2973.92
media-with-caption,complete,2026-09-09T19:28:45.3543805+05:30,3022.7
cta-band,start,2026-09-09T19:28:46.1412002+05:30,3023.49
cta-band,complete,2026-09-09T19:29:44.3317018+05:30,3081.68
case-study-grid,start,2026-09-09T19:29:46.6451649+05:30,3083.99
case-study-grid,complete,2026-09-09T19:30:42.6519043+05:30,3140
stage-02-v2,complete,2026-09-09T19:40:46.4898022+05:30,3743.84
stage-03-v2,complete,2026-09-09T19:40:47.2700618+05:30,3744.62
stage-04-v2,start,2026-09-09T19:40:48.0638905+05:30,3745.41
stage-04-v2,first-score,2026-09-09T19:43:22.7517651+05:30,3900.1
iter-03,gate-fail,2026-09-09T19:43:23.4157365+05:30,3900.76
cta-band,remediate-start,2026-09-09T19:45:52.7005602+05:30,4050.05
iter-04-diff,complete,2026-09-09T19:54:12.4917051+05:30,4549.84
round-2,complete,2026-09-09T20:30:44.7039706+05:30,6742.05
iter-03,loop-terminated,2026-09-09T20:30:50.7887027+05:30,6748.13
migration,final,2026-09-09T20:30:54.4115631+05:30,6751.76
